Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
TODD WALLMAN,TW,76,35,8,11,34,0,1,0,2,0.461,0.474,0.487,0.961,1,,,,,,,,,,,,,,,,,
JOE PARGAMENT,SD,83,38,23,15,35,2,0,1,2,0.458,0.471,0.518,0.989,2,,,,,,,,,,,,,,,,,
PATRICK BROCK,DM,81,37,17,24,32,3,1,1,4,0.457,0.482,0.556,1.038,0,,,,,,,,,,,,,,,,,
JONATHAN HEMPSTEAD,TC,77,35,19,27,28,4,0,3,4,0.455,0.481,0.623,1.105,0,,,,,,,,,,,,,,,,,
MARK CARLIN,ER,73,33,12,24,29,2,1,1,0,0.452,0.452,0.548,1.000,4,,,,,,,,,,,,,,,,,
MATT POLLOCK,MP,73,33,17,26,24,5,3,1,4,0.452,0.481,0.644,1.124,2,,,,,,,,,,,,,,,,,
ANTHONY FAZZINO,FL,62,28,13,13,25,2,1,0,4,0.452,0.485,0.516,1.001,2,,,,,,,,,,,,,,,,,
RICHIE BOMENBLIT,EB,82,37,21,23,26,9,1,1,1,0.451,0.458,0.622,1.080,0,,,,,,,,,,,,,,,,,
MIKE KLESCHINSKY,MK,71,32,10,10,29,2,1,0,7,0.451,0.500,0.507,1.007,1,,,,,,,,,,,,,,,,,
LAWRENCE RUBIN,FL,71,32,18,11,28,1,3,0,2,0.451,0.466,0.549,1.015,3,,,,,,,,,,,,,,,,,
EDWIN VALENTIN,PP,69,31,17,23,28,1,1,1,4,0.449,0.479,0.536,1.016,2,,,,,,,,,,,,,,,,,
MATT GOMOLKA,MG,69,31,27,25,23,5,0,3,6,0.449,0.493,0.652,1.146,2,,,,,,,,,,,,,,,,,
BRETT EASTON,TC,76,34,14,10,24,8,1,1,2,0.447,0.462,0.618,1.080,1,,,,,,,,,,,,,,,,,
MARK MAGARIELLO JR,TW,76,34,28,13,26,4,1,3,6,0.447,0.488,0.645,1.133,2,,,,,,,,,,,,,,,,,
BILL LOSCHIAVO,JL,56,25,10,15,20,3,0,1,2,0.446,0.466,0.536,1.001,7,,,,,,,,,,,,,,,,,
EVAN ABRAMSON,JB,74,33,18,24,27,4,1,1,2,0.446,0.461,0.568,1.028,2,,,,,,,,,,,,,,,,,
BEN KESSLER,BK,72,32,27,6,29,2,1,0,4,0.444,0.474,0.500,0.974,4,,,,,,,,,,,,,,,,,
MARK YUTKO,PP,27,12,8,5,11,1,0,0,5,0.444,0.531,0.481,1.013,0,,,,,,,,,,,,,,,,,
ED FRADKIN,PP,54,24,15,10,22,1,1,0,3,0.444,0.474,0.500,0.974,0,,,,,,,,,,,,,,,,,
MIKE VILLANI,AG,79,35,15,27,25,6,2,2,4,0.443,0.470,0.646,1.115,1,,,,,,,,,,,,,,,,,
GLEN MARRONE,GM,70,31,11,20,27,1,2,0,9,0.443,0.506,0.500,1.006,0,,,,,,,,,,,,,,,,,
JEFF MENDELSON,ER,75,33,15,15,25,2,4,2,4,0.440,0.468,0.653,1.122,3,,,,,,,,,,,,,,,,,
RICK SCHINDELHEIM,DP,66,29,8,15,27,0,2,0,3,0.439,0.464,0.500,0.964,2,,,,,,,,,,,,,,,,,
AJ ORTIZ,MP,80,35,16,9,27,6,2,0,1,0.438,0.444,0.563,1.007,3,,,,,,,,,,,,,,,,,
STEVE USHKOWITZ,AG,79,34,21,17,23,8,3,0,7,0.430,0.477,0.608,1.084,1,,,,,,,,,,,,,,,,,
BROCK HOR JR,DP,61,26,8,8,23,3,0,0,1,0.426,0.435,0.475,0.911,4,,,,,,,,,,,,,,,,,
LOU SALERNO,JL,54,23,8,13,22,0,1,0,3,0.426,0.456,0.463,0.919,7,,,,,,,,,,,,,,,,,
